a	އަ
abnegate	އެބްނިގޭޓް
abnegation	އެބްނިގޭޝަން
abner	އެބްނަރ
abney	އެބްނީ
abnormal	އެބްނޯރމަލް
abnormalities	އެބްނޯރމެލިޓީޒް
abnormality	އެބްނޯރމެލިޓީ
abnormally	އެބްނޯރމަލީ
abo	އޮބޯ
aboard	އެބޯރޑް
abode	އެބޯޑް
abodes	އަބޯޑްޒް
abohalima	އެބޮހަލީމާ
abolish	އެބޮލިޝް
abolished	އަބޮލިޝްޓް
abolishes	އެބޮލިޝިޒް
abolishing	އެބޮލިޝިން
abolishment	އެބޮލިޝްމަންޓް
abolition	އެބޮލިޝަން
abolitionism	އެބޮލިޝަނިޒްމް
abolitionist	އެބޮލިޝަނިސްޓް
abolitionists	އެބޮލިޝަނިސްޓްސް
abominable	އެބޮމިނަބްލް
abominably	އެބޮމިނަބްލީ
abominate	އެބޮމިނޭޓް
abominated	އެބޮމިނޭޓިޑް
abomination	އެބޮމިނޭޝަން
abominations	އެބޮމިނޭޝަންޒް
abominator	އެބޮމިނޭޓޮރ
abood	އެބޫޑް
aboodi	އެބޫޑީ
abor	އެބޯރ
aboriginal	އެބޮރިޖިނަލް
aboriginals	އެބޮރިޖިނަލްޒް
aborigine	އެބޮރިޖްނި
aborigines	އެބޮރިޖިނީޒް
aborn	އެބޯރން
abort	އެބޯރޓް
aborted	އެބޯރޓިޑް
abortifacient	އެބޯރޓިފޭޝަންޓް
abortifacients	އެބޯރޓިފޭޝަންޓްސް
aborting	އެބޯރޓިން
abortion	އެބޯރޝަން
abortionist	އެބޯރޝަނިސްޓް
abortionists	އެބޯރޝަނިސްޓްސް
abortions	އެބޯރޝަންޒް
abortive	އެބޯރޓިވް
aborts	އެބޯރޓްސް
abott	އެބޮޓް
abou	އެބޫ
aboud	އޮބޫޑް
abouhalima	އޮބޫހޮލީމާ
abound	އެބައުންޑް
abounded	އެބައުންޑިޑް
abounding	އެބައުންޑިން
abounds	އެބައުންޑްޒް
about	އެބައުޓް
above	އެބަވް
aboveboard	އަބަވްބޯޑް
abplanalp	އެބްޕްލަނެލްޕް
abra	އޮބްރާ
abracadabra	އެބްރަކަޑެބްރާ
abrade	އެބްރޭޑް
abraded	އެބްރޭޑިޑް
abrades	އަބްރޭޑްޒް
abrading	އެބްރޭޑިން
abraham	އޭބްރަހެމް
abrahamian	އެބްރަހޭމީއަން
abrahams	އޭބްރަހެމްޒް
abrahamsen	އެބްރަހެމްސަން
abrahamson	އެބްރެހަމްސޮން
abram	އެބްރެމް
abramczyk	އޮބްރަމްޗިކް
abramo	އޮބްރޮމޯ
abramovitz	އެބްރޮމޮވިޓްސް
abramowicz	އެބްރޮމޮވިޗް
abramowitz	އެބްރޮމޮވިޓްސް
abrams	އޭބްރަމްޒް
abramson	އޭބްރަމްސޮން
abrasion	އެބްރޭޜަން
abrasions	އެބްރޭޜަންޒް
abrasive	އެބްރޭސިވް
abrasiveness	އަބްރޭސިވްނަސް
abrasives	އަބްރޭސިވްޒް
abraxa	އެބްރެކްސާ
abraxas	އެބްރެކްސަސް
abreast	އެބްރެސްޓް
abrego	އޮބްރެގޯ
abreu	އެބްރޫ
abri	އެބްރި
abridge	އެބްރިޖް
abridged	އަބްރިޖްޑް
abridgement	އަބްރިޖްމަންޓް
abridges	އެބްރިޖަޒް
abridging	އެބްރިޖިން
abril	އެބްރިލް
abroad	އެބްރޯޑް
abrogate	އެބްރޮގޭޓް
abrogated	އެބްރޮގޭޓިޑް
abrogating	އެބްރޮގޭޓިން
abrogation	އެބްރޮގޭޝަން
abrol	އެބްރޯލް
abron	އެބްރޮން
abrupt	އެބްރަޕްޓް
abruption	އެބްރަޕްޝަން
abruptly	އެބްރަޕްޓްލީ
abruptness	އެބްރަޕްޓްނަސް
abrutyn	އޭބްރޫޓިން
abruzzese	އޮބްރޫޓްސޭޒީ
abruzzo	އޮބްރޫޒޯ
abs	އެބްޒް
absalom	އެބްސަލޮމް
absaraka	އެބްސާރަކާ
abscam	އެބްސްކެމް
abscess	އެބްސެސް
abscesses	އެބްސެސިޒް
abscond	އެބްސްކޮންޑް
absconded	އެބްސްކޮންޑިޑް
absconding	އެބްސްކޮންޑިން
absconds	އެބްސްކޮންޑްޒް
absecon	އެބްސަކޯން
abseil	އެބްސޭލް
abseiled	އެބްސޭލްޑް
abseiler	އެބްސޭލަރ
abseiling	އެބްސޭލިން
abseils	އެބްސޭލްޒް
absence	އެބްސަންސް
absences	އެބްސަންސިޒް
absent	އެބްސަންޓް
absented	އެބްސެންޓިޑް
absentee	އެބްސަންޓީ
absenteeism	އެބްސްންޓީއިޒްމް
absentees	އެބްސަންޓީޒް
absentia	އެބްސެންޝާ
absenting	އެބްސެންޓިން
absentminded	އެބްސަންޓްމައިންޑިޑް
absentmindedly	އެބްސަންޓްމައިންޑިޑްލީ
absher	އެބްޝަރ
abshier	އެބްޝީއަ
abshire	އެބްޝައިއަ
absinthe	އެބްސިންތް
abso	އެބްސޯ
absolom	އެބްސޮލޮމް
absolut	އެބްސޮލޫޓް
absolute	އެބްސޮލޫޓް
absolutely	އެބްސަލޫޓްލީ
absoluteness	އެބްސަލޫޓްނަސް
absolutes	އެބްސަލޫޓްސް
absolution	އެބްސޮލޫޝަން
absolutism	އެބްސޮލޫޓިޒްމް
absolutist	އެބްސޮލޫޓިސްޓް
absolve	އެބްސޮލްވް
absolved	އަބްސޮލްވްޑް
absolves	އަބްސޮލްވްޒް
absolving	އެބްސޮލްވިން
absorb	އެބްޒޯރބް
absorbable	އެބްސޯރބަބްލް
absorbed	އަބްޒޯބްޑް
absorbency	އެބްސޯރބަންސީ
absorbent	އެބްސޯރބަންޓް
absorber	އެބްސޯރބަރ
absorbers	އެބްސޯރބަރޒް
absorbing	އެބްސޯރބިން
absorbs	އެބްސޯރބްޒް
absorption	އެބްޒޯރޕްޝަން
abstain	އެބްސްޓޭން
abstained	އަބްސްޓޭންޑް
abstainers	އެބްސްޓޭނަރޒް
abstaining	އެބްސްޓޭނިން
abstains	އެބްސްޓޭންޒް
abstemious	އަބްސްޓީމީއަސް
abstention	އެބްސްޓެންޝަން
abstentions	އެބްސްޓެންޝަންޒް
abstinence	އެބްސްޓިނަންސް
abstinent	އެބްސްޓިނަންޓް
abston	އެބްސްޓޮން
abstract	އެބްސްޓްރެކްޓް
abstracted	އެބްސްޓްރެކްޓިޑް
abstracting	އެބްސްޓްރެކްޓިން
abstraction	އެބްސްޓްރެކްޝަން
abstractions	އެބްސްޓްރެކްޝަންޒް
abstractly	އެބްސްޓްރެކްޓްލީ
abstracts	އެބްސްޓްރެކްޓްސް
abstruse	އެބްސްޓްރޫސް
absurd	އެބްސާރޑް
absurdist	އެބްސާރޑިސްޓް
absurdities	އެބްސާރޑިޓީޒް
absurdity	އެބްސާރޑިޓީ
absurdly	އެބްސާރޑްލީ
abt	އެބްޓް
abts	އެބްޓްސް
abu	އެބޫ
abudrahm	އެބަޑްރަމް
abuellah	އެބްވެލަ
abuladze	އެބިޔުލެޑްޒީ
abundance	އެބަންޑަންސް
abundances	އެބަންޑަންސިޒް
abundant	އެބަންޑަންޓް
abundantly	އެބަންޑަންޓްލީ
aburto	އެބުއަރޓޯ
abuse	އެބިޔުޒް
abused	އަބިޔުސްޑް
abuser	އެބިޔުސަރ
abusers	އެބިޔުސަރޒް
abuses	އެބިޔުސިޒް
abusing	އެބިޔުސިން
abusive	އެބިޔުސިވް
abusively	އަބިޔުސިވްލީ
abut	އެބަޓް
abutment	އެބަޓްމަންޓް
abutments	އެބަޓްމަންޓްސް
abuts	އެބަޓްސް
abutted	އެބަޓިޑް
abutting	އެބަޓިން
abuzz	އެބަޒް
aby	އެބައި
abysmal	އެބިސްމަލް
abysmally	އެބިސްމަލީ
abyss	އެބިސް
abyssal	އެބިސަލް
abysses	އެބިސިޒް
abyssinia	އެބްސިނިއާ
abyssinian	އެބްސިނިއަން
abzug	އެބްޒަގް
ac	އޭސީ
aca	އެކާ
acacia	އެކޭޝާ
acacias	އެކޭޝަޒް
academe	އެކެޑްމީ
academia	އެކަޑީމީއަ
academic	އެކަޑެމިކް
academical	އެކަޑެމިކަލް
academically	އެކަޑެމިކްލީ
academician	އެކަޑިމިޝަން
academicians	އެކަޑިމިޝަންޒް
academics	އެކަޑެމިކްސް
academies	އެކެޑަމިޒް
academy	އެކެޑަމީ
acadia	އަކޭޑީއަ
acaena	އެސީނާ
acampo	އެކޮމްޕޯ
acampora	އެކެމްޕޮރާ
acampsia	އެކެމްޕްސިޔާ
acantha	އޮކޮންދާ
acanthus	އެކާންތަސް
acapulco	އެކަޕުލްކޯ
acary	އެކަރީ
acc	އައިސީސީ
accardi	އޮކާރޑީ
accardo	އޮކާރޑޯ
accede	އެކްސީޑް
acceded	އެކްސީޑިޑް
accedes	އެކްސީޑްޒް
acceding	އެކްސީޑިން
accel	އެކްސެލް
accelerando	އެކްސެލަރެންޑޯ
accelerant	އެކްސެލަރަންޓް
accelerants	އެކްސެލަރަންޓްސް
accelerate	އެކްސެލަރޭޓް
accelerated	އެކްސެލަރޭޓިޑް
accelerates	އަކްސެލަރޭޓްސް
accelerating	އެކްސެލަރޭޓިން
acceleration	އެކްސެލަރޭޝަން
accelerations	އެކްސެލަރޭޝަންޒް
accelerator	އެކްސެލަރޭޓޮރ
accelerators	އެކްސެލަރޭޓޮރޒް
accelerometer	އެކްސެލަރޮމިޓަރ
accelerometers	އެކްސެލަރޮމިޓަރޒް
accent	އެކްސެންޓް
accented	އެކްސަންޓިޑް
accenting	އެކްސެންޓިން
accents	އެކްސެންޓްސް
accentuate	އެކްސެންޗޫއޭޓް
accentuated	އެކްސެންޗޫއޭޓިޑް
accentuates	އެކްސެންޗޫއޭޓްސް
accentuating	އެކްސެންޗޫއޭޓިން
accenture	އެކްސެންޗަރ
accept	އެކްސެޕްޓް
acceptability	އެކްސެޕްޓަބިލިޓީ
acceptable	އެކްސެޕްޓަބްލް
acceptably	އެކްސެޕްޓަބްލީ
acceptance	އެކްސެޕްޓަންސް
acceptances	އެކްސެޕްޓަންސިޒް
acceptation	އެކްސިޕްޓޭޝަން
accepted	އެކްސެޕްޓިޑް
accepting	އެކްސެޕްޓިން
accepts	އެކްސެޕްޓްސް
access	އެކްސެސް
accessed	އެކްސެސްޓް
accesses	އެކްސެސިޒް
accessibility	އެކްސެސިބިލިޓީ
accessible	އެކްސެސިބްލް
accessibly	އެކްސެސިބްލީ
accessing	އެކްސެސިން
accession	އެކްސެޝަން
accessories	އެކްސެސޮރީޒް
accessorise	އެކްސެސޯރައިޒް
accessorised	އަކްސެސޯރައިޒްޑް
accessorising	އެކްސެސޯރައިޒިން
accessorize	އެކްސެސޮރައިޒް
accessorized	އެކްސެސައައިޒްޑް
accessory	އެކްސެސޮރީ
accetta	އޮޗެޓާ
accident	އެކްސިޑަންޓް
accidental	އެކްސިޑެންޓަލް
accidentally	އެކްސިޑެންޓަލީ
accidently	އެކްސިޑަންޓްލީ
accidents	އެކްސިޑަންޓްސް
accidie	އެކްސިޑީ
accion	އެޗީއަން
accival	އެސިވޮލް
acclaim	އެކްލޭމް
acclaimed	އަކްލޭމްޑް
acclaiming	އެކްލޭމިން
acclaims	އެކްލޭމްޒް
acclamation	އެކްލަމޭޝަން
acclimate	އެކްލައިމަޓް
acclimated	އެކްލައިމަޓިޑް
acclimation	އެކްލިމޭޝަން
acclimatisation	އެކްލައިމަޓައިޒޭޝަން
acclimatise	އެކްލައިމަޓައިޒް
acclimatised	އަކްލައިމަޓައިޒްޑް
acclimatising	އެކްލައިމަޓައިޒިން
acco	އެކޯ
accokeek	އެކޯކީކް
accola	އޮކޯލާ
accolade	އެކޮލޭޑް
accolades	އެކަލޭޑްޒް
accomando	އޮކޯމޮންޑޯ
accommodate	އެކޮމޮޑޭޓް
accommodated	އެކޮމޮޑޭޓިޑް
accommodates	އަކޮމަޑޭޓްސް
accommodating	އެކޮމޮޑޭޓިން
accommodation	އެކޮމޮޑޭޝަން
accommodations	އެކޮމޮޑޭޝަންޒް
accommodative	އެކޮމޮޑޭޓިވް
accompanied	އެކަމްޕަނީޑް
accompanies	އެކަމްޕަނިޒް
accompaniment	އެކަމްޕަނިމަންޓް
accompaniments	އެކަމްޕަނިމަންޓްސް
accompanist	އެކަމްޕަނިސްޓް
accompanists	އެކަމްޕަނިސްޓްސް
accompany	އެކަމްޕަނީ
accompanying	އެކަމްޕްނީއިން
accompli	އޮކޮމްޕްލީ
accomplice	އެކޮމްޕްލިސް
accomplices	އެކޮމްޕްލިސިޒް
accomplish	އެކޮމްޕްލިޝް
accomplished	އަކޮމްޕްލިޝްޓް
accomplishes	އެކޮމްޕްލިޝިޒް
accomplishing	އެކޮމްޕްލިޝިން
accomplishment	އެކޮމްޕްލިޝްމަންޓް
accomplishments	އެކޮމްޕްލިޝްމަންޓްސް
accor	އެކޯރ
accord	އެކޯރޑް
accordance	އެކޯރޑަންސް
accordant	އެކޯރޑަންޓް
accorded	އެކޯރޑިޑް
according	އެކޯރޑިން
accordingly	އެކޯރޑިންލީ
accordion	އެކޯރޑިއަން
accordionist	އެކޯރޑިއަނިސްޓް
accordionists	އެކޯރޑިއަނިސްޓްސް
accordions	އަކޯޑީއަންޒް
accords	އެކޯރޑްޒް
accost	އެކޮސްޓް
accosted	އެކޮސްޓިޑް
accosting	އެކޮސްޓިން
accosts	އެކޮސްޓްސް
account	އެކައުންޓް
accountability	އެކައުންޓަބިލިޓީ
accountable	އެކައުންޓަބްލް
accountancy	އެކައުންޓަންސީ
accountant	އެކައުންޓަންޓް
accountants	އެކައުންޓަންޓްސް
accounted	އެކައުންޓިޑް
accountemp	އެކައުންޓެމްޕް
accountemps	އެކައުންޓެމްޕްސް
accounting	އެކައުންޓިން
accounts	އެކައުންޓްސް
accouterment	އެކޫޓަރމަންޓް
accouterments	އެކޫޓަރމަންޓްސް
accoutred	އެކޫޓްރަޑް
accoutrement	އެކޫޓްރިމަންޓް
accoutrements	އެކޫޓްރިމަންޓްސް
accra	އޮކްރޮ
accredit	އެކްރެޑިޓް
accreditation	އެކްރެޑިޓޭޝަން
accreditations	އެކްރެޑިޓޭޝަންޒް
accredited	އެކްރެޑިޓިޑް
accrediting	އެކްރެޑިޓިން
accredits	އެކްރެޑިޓްސް
accrete	އެކްރީޓް
accreted	އެކްރީޓިޑް
accretion	އެކްރެޝަން
accretions	އެކްރެޝަންޒް
accrual	އަކްރޫއަލް
accruals	އަކްރޫއަލްޒް
accrue	އެކްރޫ
accrued	އެކްރޫޑް
accrues	އެކްރޫޒް
accruing	އަކްރޫއިން
accu	އެކިޔު
accuhealth	އެކިޔުހެލްތް
acculturated	އެކަލްޗަރޭޓިޑް
accumulate	އެކިޔުމިޔުލޭޓް
accumulated	އެކިޔުމިޔުލޭޓިޑް
accumulates	އަކިޔުމިޔުލޭޓްސް
accumulating	އެކިޔުމިޔުލޭޓިން
accumulation	އެކިޔުމިޔުލޭޝަން
accumulations	އެކިޔުމިޔުލޭޝަންޒް
accumulative	އެކިޔުމިޔުލަޓިވް
accumulatively	އަކިޔުމިޔަލޭޓިވްލީ
accumulator	އެކިޔުމިޔުލޭޓޮރ
accumulators	އެކިޔުމިޔުލޭޓޮރޒް
accuracies	އެކިޔަރަސީޒް
accuracy	އެކިޔުރަސީ
accurate	އެކިޔުރިޓް
accurately	އެކިޔުރިޓްލީ
accuray	އެކިޔަރޭ
accuride	އެކިޔަރައިޑް
accursed	އެކާރސިޑް
accurso	އޮކުއަރސޯ
accusation	އެކިޔުޒޭޝަން
accusations	އެކިޔުޒޭޝަންޒް
accusative	އެކިޔުޒަޓިވް
accusatory	އެކިޔުޒަޓޮރީ
accuse	އެކިޔުޒް
accused	އަކިޔުޒްޑް
accuser	އެކިޔުޒަރ
accusers	އެކިޔުޒަރޒް
accuses	އެކިޔުޒިޒް
accusing	އެކިޔުޒިން
accusingly	އެކިޔުޒިންލީ
accustom	އެކަސްޓޮމް
accustomed	އަކަސްޓަމްޑް
accutane	އެކިޔުޓޭން
ace	އޭސް
acecomm	އޭސްކޮމް
aced	އޭސްޓް
acer	އޭސަރ
acerbic	އެސާރބިކް
acero	އެސެއަރޯ
acerra	އެސެއަރާ
aces	އޭސިޒް
acetaminophen	އެސީޓަމިނޮފަން
acetate	އެސިޓޭޓް
acetates	އެސިޓޭޓްސް
acetic	އެސީޓިކް
aceto	އޮސެޓޯ
acetochlor	އޮސެޓޯކްލޯރ
acetone	އެސިޓޯން
acetosyringone	އެސެޓޯސިއަރިންގޯން
acetyl	އެސިޓައިލް
acetylcholine	އެސެޓިލްކޯލީން
acetylene	އެސެޓިލީން
acevedo	އެސަވޭޑޯ
aceves	އޮސޭވެސް
acey	އޭސީ
ach	އޭސީއޭޗް
achaean	އަޗީއަން
achatz	އެކަޓްސް
ache	އޭކް
achebe	އޮޗޭބީ
ached	އޭކްޓް
achee	އެޗީ
achenbach	އެކިންބޮކް
achenbaum	އެކަންބައުމް
achene	އެކީން
achenes	އަކީންޒް
aches	އޭކްޒް
acheson	އެޗަސޮން
achesons	އެޗަސޮންޒް
achey	އެޗީ
achieva	އެޗީވާ
achievable	އެޗީވަބްލް
achieve	އެޗީވް
achieved	އަޗީވްޑް
achievement	އަޗީވްމަންޓް
achievements	އަޗީވްމަންޓްސް
achiever	އެޗީވަރ
achievers	އެޗީވަރޒް
achieves	އަޗީވްޒް
achieving	އެޗީވިން
achill	އެކިލް
achille	އަކިލީ
achilles	އެކިލީޒް
aching	އޭކިން
achingly	އެޗިންލީ
achmed	އޮހްމެޑް
achoa	އަޗޯއަ
achoo	އެޗޫ
achor	އޭކޮރ
achord	އެކޯރޑް
achorn	އެކޮރން
achtenberg	އެކްޓެންބަރގް
achterberg	އެކްޓަރބަރގް
achy	އޭކީ
acid	އެސިޑް
acidic	އެސިޑިކް
acidification	އެސިޑިފިކޭޝަން
acidified	އެސިޑިފައިޑް
acidifies	އެސިޑިފައިޒް
acidify	އެސިޑިފައި
acidifying	އަސިޑިފައިއިން
acidity	އެސިޑިޓީ
acidly	އެސިޑްލީ
acidosis	އެސިޑޯސިސް
acidotic	އެސިޑޮޓިކް
acids	އެސިޑްޒް
acidulated	އެސިޑިޔުލޭޓިޑް
aciduria	އެސަޑުއައީއަ
acierno	އޮސިއަރނޯ
acing	އޭސިން
ack	އެކް
acker	އެކަރ
ackerley	އެކަރލީ
ackerly	އެކަރލީ
ackerman	އެކަރމަން
ackermann	އެކަރމަން
ackermanville	އެކަރމަންވިލް
ackerson	އެކަރސޮން
ackert	އެކަރޓް
ackhouse	އެކްހައުސް
ackland	އެކްލަންޑް
ackles	އެކަލްޒް
ackley	އެކްލީ
acklin	އެކްލިން
ackman	އެކްމަން
acknowledge	އެކްނޮލިޖް
acknowledgeable	އެކްނޮލިޖަބްލް
acknowledged	އަކްނޮލިޖްޑް
acknowledgement	އަކްނޮލިޖްމަންޓް
acknowledgements	އަކްނޮލިޖްމަންޓްސް
acknowledges	އެކްނޮލިޖިޒް
acknowledging	އެކްނޮލިޖިން
acknowledgment	އެކްނޮލިޖްމަންޓް
acknowledgments	އެކްނޮލިޖްމަންޓްސް
ackroyd	އެކްރޮއިޑް
acm	އޭސީއެމް
acmat	އެކްމެޓް
acme	އެކްމީ
acne	އެކްނީ
acocella	އޮކޯޗެލާ
acoff	އެކޯފް
acog	އެކޯގް
acolyte	އެކޮލައިޓް
acolytes	އެކަލައިޓްސް
acomb	އޭކޮމް
aconite	އެކޮނައިޓް
aconites	އެކަނައިޓްސް
acord	އެކޯރޑް
acordia	އަކޯޑީއަ
acorn	އޭކޯރން
acorns	އޭކޯރންޒް
acosta	އެކޯސްޓާ
acott	އޭކޯޓް
acoustic	އެކޫސްޓިކް
acoustical	އެކޫސްޓިކަލް
acoustically	އަކޫސްޓިކްލީ
acoustician	އެކޫސްޓިޝަން
acousticians	އެކޫސްޓިޝަންޒް
acoustics	އެކޫސްޓިކްސް
acquaint	އެކްވޭންޓް
acquaintance	އެކްވޭންޓަންސް
acquaintances	އެކްވޭންޓަންސިޒް
acquaintanceship	އަކްވޭންޓަންސްޝިޕް
acquainted	އެކްވޭންޓިޑް
acquainting	އެކްވޭންޓިން
acquaviva	އޮކްވޮވީވާ
acquiesce	އެކްވިއެސް
acquiesced	އެކްވިއެސްޓް
acquiescence	އެކްވިއެސްންސް
acquiescent	އެކްވިއެސްންޓް
acquiesces	އެކްވިއެސިޒް
acquiescing	އެކްވިއެސިން
acquire	އަކްވައިއަ
acquired	އެކްވައިރަޑް
acquirer	އަކްވައިއަރަ
acquirers	އަކްވައިއައަޒް
acquires	އެކްވައިރަޒް
acquiring	އަކްވައިއަރިން
acquisition	އެކްވިޒިޝަން
acquisitions	އެކްވިޒިޝަންޒް
acquisitive	އެކްވިޒިޓިވް
acquit	އެކްވިޓް
acquitaine	އެކްވިޓޭން
acquits	އެކްވިޓްސް
acquittal	އެކްވިޓަލް
acquittals	އެކްވިޓަލްޒް
